TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Eleginus gracilis,164708,Eleginus gracilis,164708,All data for this genus is for E. gracilis.,Eleginus gracilis,164708,Eleginus gracilis,164708,Eleginus gracilis,164708,fish,Chordata,cod,"Eleginus navaga, Gadus gracilis, Gadus wachna","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Fair predator and prey lists
Eleginus nawaga,623120,,dropped,All data for this genus is for E. gracilis - E. nawaga may be a synonym.,,dropped,,dropped,,dropped,fish,Chordata,cod,"Eleginus navaga, Gadus navaga",OBISGBIF,done,Fair predator and prey lists for congener E. gracilis - no species-specific data
Enhydra lutris,180547,Enhydra lutris,180547,Excellent data for this species.,Enhydra lutris,180547,Enhydra lutris,180547,Enhydra lutris,180547,mammal,Chordata,otter,,OBISGBIF,done,Excellent prey list from many sources; also good predator list
Enophrys bison,167267,Enophrys bison,167267,Vast majority of data for this genus is for E. bison.,Enophrys bison,167267,Enophrys bison,167267,Enophrys bison,167267,fish,Chordata,sculpin,Aspicottus bison,OBISGBIF,done,Good prey data; a few species-specific predators; lots of predators and prey of sculpins in general
Enophrys diceraus,167268,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,sculpin,"Ceratocottus diceraus, Cottus claviger, Cottus diceraus, Enophrys claviger","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Fairly complete prey list from a single paper for congener E. bison; no species-specific predators; lots of predators and prey of sculpins in general
Enophrys lucasi,167269,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,sculpin,Ceratocottus lucasi,OBISGBIF,done,Fairly complete prey list from a single paper for congener E. bison; no species-specific predators; lots of predators and prey of sculpins in general
Enteroctopus dofleini,557227,Enteroctopus dofleini,557227,Excellent data for this species.,Enteroctopus dofleini,557227,Enteroctopus dofleini,557227,Enteroctopus dofleini,557227,octopus,Mollusca,octopus,Octopus dofleini,OBISGBIF,done,Great coverage of both predators and prey from many sources
Enteropneusta,158617,,dropped,Insufficient data for this class.,,dropped,,dropped,,dropped,worm,Hemichordata,enteropneust,,OBISGBIF,done,A little low-resolution prey data; two predator entries
Eogonatus tinro,556322,,drop,no good prey data,,drop,,drop,,drop,squid,Mollusca,squid,Gonatus tinro,"Nesis, 1997. Gonatid Squids in the Subarctic North Pacific: Ecology. Biogeography. Niche Diversity and Role in the Ecosystem. Advances in Marine Biology 32: 243-324",done,"A little low-resolution species-specific prey data, more for a few congeners; some species-specific predator data and lots of additional data for congeners"
Eopsetta jordani,172868,Eopsetta,172867,Additional (although low-resolution) prey data for a similar congener,Eopsetta,172867,Eopsetta,172867,Eopsetta,172867,fish,Chordata,sole,Hippoglossoides jordani,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,One prey entry; limited predator data; some additional data for congeners of synonym Hippoglossoides jordani
