TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Saxidomus hanzawai,no TSN,Saxidomus,81446,,Saxidomus,81446,Saxidomus,81446,Saxidomus,81446,clam,Mollusca,bivalve,,OBISGBIF,done,Very limited prey data for this genus; good predator data for congener S. gigantea
Schistomeringos annulata,66520,,dropped,Not much data for this genus or the family Dorvilleidae.,,dropped,,dropped,,dropped,worm,Annelida,polychaete,"Dorvillea annulata, Stauronereis annulatus",OBISGBIF,done,No species-specific data; very limited prey data and one predator entry for congeners
Schizobranchia insignis,68149,Sabellidae,68076,,Sabellidae,68076,Sabellidae,68076,Sabellidae,68076,worm,Annelida,polychaete,"Schizobranchia affinis, S. concinna, S. nobilis",OBISGBIF,done,Very limited prey and predator available
Scolelepis squamata,66943,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,Malacoceros longirostris,OBISGBIF,done,One prey entry (deposit feeder); very little predator data
Scolex,no TSN,Scolex,san1483,Good host data for the genus.,Scolex,san1483,Scolex,san1483,Scolex,san1483,worm,Platyhelminthes,parasitic cestode,,"Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,Good host data for a species within this genus
Scoloplos acmeceps,66608,Orbiniidae,66570,,Orbiniidae,66570,Orbiniidae,66570,Orbiniidae,66570,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (detritus); no species-specific predator data but some for a congener
Scoloplos armiger,66595,Orbiniidae,66570,,Orbiniidae,66570,Orbiniidae,66570,Orbiniidae,66570,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (detritus); some predator data
Scrippsiella trochoidea,10537,Scrippsiella,10536,"Pretty good pred data - lumping to order, class, or division does not add very many links.",Dinophyceae,9874,Scrippsiella,10536,Dinophyceae,9874,phytoplankton,Pyrrophycophyta,dinoflagellate,"Calciodinellum faeroense, Glenodinium acuminatum, G. trochoideum, P. faeroense, P. trochoideum, Scrippsiella faeroensis",NOAA World Ocean Database,done,Very little prey data; some predator data
Sebastes aleutianus,166706,Sebastes aleutianus,166706,,Sebastes aleutianus,166706,Sebastes aleutianus,166706,Sebastes aleutianus,166706,fish,Chordata,rockfish,Sebastodes aleutianus,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; limited species-specific predator coverage
Sebastes alutus,166707,Sebastes alutus,166707,,Sebastes alutus,166707,Sebastes alutus,166707,Sebastes alutus,166707,fish,Chordata,rockfish,"Sebastichthys alutus, Sebastodes alutus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; good predator data
Sebastes aurora,166709,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,rockfish,"Sebastichthys aurora, Sebastodes rupestris","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No species-specific prey data; limited species-specific predator coverage
Sebastes babcocki,166710,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastodes babcocki,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Limited species-specific prey data; no species-specific predator coverage
Sebastes borealis,166712,Sebastes borealis,166712,,Sebastes borealis,166712,Sebastes borealis,166712,Sebastes borealis,166712,fish,Chordata,rockfish,"Sebastes caenaematicus, Sebastes introniger, Sebastodes introniger","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; some species-specific predator coverage
Sebastes brevispinis,166711,,dropped,No data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastichthys brevispinus,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No species-specific prey data; no species-specific predator coverage
Sebastes caurinus,166713,Sebastes caurinus,166713,,Sebastes caurinus,166713,Sebastes caurinus,166713,Sebastes caurinus,166713,fish,Chordata,rockfish,Sebastodes caurinus,OBISGBIF,done,Excellent prey data; limited species-specific predator coverage
Sebastes ciliatus,166714,Sebastes ciliatus,166714,,Sebastes ciliatus,166714,Sebastes ciliatus,166714,Sebastes ciliatus,166714,fish,Chordata,rockfish,"Epinephelus ciliatus, Sebastichthys ciliatus, Sebastodes ciliatus, Sebastostomus ciliatus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Fairly good species-specific pred and prey data (although pred data is parasites)
Sebastes crameri,166715,Sebastes crameri,166715,,Sebastes crameri,166715,Sebastes crameri,166715,Sebastes crameri,166715,fish,Chordata,rockfish,Sebastodes crameri,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; limited species-specific predator coverage
Sebastes diploproa,166716,Sebastes diploproa,166716,,Sebastes diploproa,166716,Sebastes diploproa,166716,Sebastes diploproa,166716,fish,Chordata,rockfish,"Sebastichthys diploproa, Sebastodes diploproa","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; limited species-specific predator coverage
Sebastes elongatus,166717,Sebastes elongatus,166717,,Sebastes elongatus,166717,Sebastes elongatus,166717,Sebastes elongatus,166717,fish,Chordata,rockfish,Sebastodes elongatus,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Fairly good species-specific prey data; limited pred data
Sebastes entomelas,166719,Sebastes entomelas,166719,,Sebastes entomelas,166719,Sebastes entomelas,166719,Sebastes entomelas,166719,fish,Chordata,rockfish,Sebastichthys entomelas,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Fairly good species-specific prey data; limited pred data
Sebastes flavidus,166720,Sebastes flavidus,166720,,Sebastes flavidus,166720,Sebastes flavidus,166720,Sebastes flavidus,166720,fish,Chordata,rockfish,Sebastodes flavidus,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; limited species-specific predator coverage
Sebastes goodei,166722,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastodes goodei,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No species-specific prey data;  limited species-specific predator coverage
Sebastes helvomaculatus,166723,Sebastes helvomaculatus,166723,,Sebastes helvomaculatus,166723,Sebastes helvomaculatus,166723,Sebastes helvomaculatus,166723,fish,Chordata,rockfish,,OBISGBIF,done,"Good prey data, no pred data."
Sebastes jordani,166725,Sebastes jordani,166725,,Sebastes jordani,166725,Sebastes jordani,166725,Sebastes jordani,166725,fish,Chordata,rockfish,Sebastodes jordani,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data; some species-specific predator coverage
Sebastes maliger,166726,Sebastes maliger,166726,,Sebastes maliger,166726,Sebastes maliger,166726,Sebastes maliger,166726,fish,Chordata,rockfish,"Sebastichthys maliger, Sebastodes maliger",OBISGBIF,done,Excellent prey data; limited species-specific predator coverage
Sebastes melanops,166727,Sebastes melanops,166727,,Sebastes melanops,166727,Sebastes melanops,166727,Sebastes melanops,166727,fish,Chordata,rockfish,Sebastodes melanops,OBISGBIF,done,Excellent prey data;  limited species-specific predator coverage
Sebastes melanostinctus,no TSN,,dropped,No data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,,OBISGBIF,done,No species-specific prey or predator data
Sebastes mystinus,166730,Sebastes mystinus,166730,,Sebastes mystinus,166730,Sebastes mystinus,166730,Sebastes mystinus,166730,fish,Chordata,rockfish,"Sebastichthys mystinus, Sebastodes mystinus",OBISGBIF,done,Good species-specific prey data; limited predator data
Sebastes nigrocinctus,166732,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastodes nigrocinctus,OBISGBIF,done,"No species-specific prey data, only 2 preds"
Sebastes paucispinis,166733,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastodes paucispinis,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Some species-specific prey data;  limited species-specific predator coverage
Sebastes pinniger,166734,Sebastes pinniger,166734,,Sebastes pinniger,166734,Sebastes pinniger,166734,Sebastes pinniger,166734,fish,Chordata,rockfish,"Sebastodes pinniger, Sebastichthys pinniger, Sebastosomus pinniger","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; limited species-specific predator coverage
Sebastes polyspinis,166735,Sebastes polyspinis,166735,,Sebastes polyspinis,166735,Sebastes polyspinis,166735,Sebastes polyspinis,166735,fish,Chordata,rockfish,Sebastodes polyspinis,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data; no species-specific predator data
Sebastes proriger,166736,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,"Sebastichthys proriger, Sebastodes proriger","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No species-specific prey data;  one species-specific predator
Sebastes reedi,166737,,dropped,No data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Sebastodes reedi,OBISGBIF,done,No species-specific prey or predator data
Sebastes ruberrimus,166740,Sebastes ruberrimus,166740,,Sebastes ruberrimus,166740,Sebastes ruberrimus,166740,Sebastes ruberrimus,166740,fish,Chordata,rockfish,"Sebastodes ruberrimus, Sebastolobus ruberrimus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good species-specific prey and some predator data
Sebastes saxicola,166741,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,"Sebastichthys saxicola, Sebastodes saxicola","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,No species-specific prey data; limited species-specific predator coverage
Sebastes variabilis,644604,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,rockfish,Perca variabilis,OBISGBIF,done,Limited species-specific prey data; no species-specific predator coverage
Sebastes variegatus,166742,,dropped,No data,,dropped,,dropped,,dropped,fish,Chordata,rockfish,,OBISGBIF,done,No species-specific prey or predator data
Sebastes wilsoni,166743,Sebastes wilsoni,166743,,Sebastes wilsoni,166743,Sebastes wilsoni,166743,Sebastes wilsoni,166743,fish,Chordata,rockfish,Sebastodes wilsoni,OBISGBIF,done,OK species-specific prey data; one species-specific predator
Sebastes zacentrus,166744,Sebastes zacentrus,166744,,Sebastes zacentrus,166744,Sebastes zacentrus,166744,Sebastes zacentrus,166744,fish,Chordata,rockfish,"Sebastichthys zacentrus, Sebastodes zacentrus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data; limited species-specific predator coverage
Sebastolobus alascanus,166783,Sebastolobus,166782,"Sad to lump, as most good prey data is for this species, but including congeners adds several predators to an otherwise mediocre pred list",Sebastolobus,166782,Sebastolobus,166782,Sebastolobus,166782,fish,Chordata,rockfish,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Excellent prey data; fairly good predator data for this species, some additional predators of the genus"
Sebastolobus altivelis,166784,Sebastolobus,166782,,Sebastolobus,166782,Sebastolobus,166782,Sebastolobus,166782,fish,Chordata,rockfish,,Global Biodiversity Information Facility (http://data.gbif.org),done,"No species-specific prey or predator data, but good prey data and some predator data for two congeners"
Serripes groenlandicus,80879,,drop,"All data is for this species - no benefit to lumping to genus.  No prey
",,drop,,drop,,drop,clam,Mollusca,bivalve,Cardium boreale,OBISGBIF,done,"One prey entry (plankton), good predator data for this species and for congeners of synonym Cardium"
Sertularella complexa,49856,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,,OBISGBIF,done,One prey entry (zooplankton); no predator data available
Sigalion,65093,Sigalionidae,65072,,Sigalionidae,65072,Sigalionidae,65072,Sigalionidae,65072,worm,Annelida,polychaete,,OBISGBIF,done,no prey data; one predator entry for the family of this species
Silicoflagellida,43789,Silicoflagellida,43789,,Sarcomastigophora,43781,Silicoflagellida,43789,Sarcomastigophora,43781,protozoan,Sarcomastigophora,protozoan,,OBISGBIF,done,No prey data and some limited predator data
Siliqua alta,81009,Pharidae,566908,"Including the whole family Pharidae adds pred data for Ensis, an ecologically similar genus.",Pharidae,566908,Pharidae,566908,Pharidae,566908,clam,Mollusca,bivalve,,OBISGBIF,done,"Very limited prey data available; some predator data for congeners, none species-specific"
Siliqua patula,81008,Pharidae,566908,,Pharidae,566908,Pharidae,566908,Pharidae,566908,clam,Mollusca,bivalve,,OBISGBIF,done,Very limited prey data available; some species-specific predator data
Siphonalia sakakurai,no TSN,,dropped,No data available.,,dropped,,dropped,,dropped,whelk,Mollusca,gastropod,,OBISGBIF,done,no data available
Smithora,11523,,dropped,Insufficient data,,dropped,,dropped,,dropped,red alga,Rhodophyta,seaweed,,Intertidal web,done,Grows on Phyllospadix.
Solariella obscura,69915,Trochidae,69794,"Lumping to family adds a bunch of predators and prey; all common spp. in database are of similar size, and all species in this family are diatom and algae grazers.",Trochidae,69794,Trochidae,69794,Trochidae,69794,snail,Mollusca,gastropod,,OBISGBIF,done,no prey data; very little predator data for this genus (no species-specific)
Solaster borealis,157082,,dropped,No species-specific data.,,dropped,,dropped,,dropped,star,Echinodermata,seastar,Crossaster borealis,OBISGBIF,done,"No species-specific prey or predator data, but lots of prey and some predator data for congeners"
Solaster dawsoni,157075,Solaster dawsoni,157075,,Solaster dawsoni,157075,Solaster dawsoni,157075,Solaster dawsoni,157075,star,Echinodermata,seastar,,OBISGBIF,done,Good prey data; some predator data
Solaster endeca,157076,Solaster endeca,157076,,Solaster endeca,157076,Solaster endeca,157076,Solaster endeca,157076,star,Echinodermata,seastar,"Asterias alboverrucosa, A. aspera, A. endeca, A. rumphii, Solaster galaxides, S. intermedius, Stellonia endeca",OBISGBIF,done,Good prey data; very little species-specific predator data but some data for congeners
Soldatovia polyactocephala,631001,,dropped,No data available.,,dropped,,dropped,,dropped,fish,Chordata,warbonnet,"Blennius polyactocephalus, Bryostemma polyactocephalus, Chirolophis polyactocephalus",OBISGBIF,done,no data available for this genus; a few predator entries for congeners of synonym Blennius polyactocephalus
Somniosus pacificus,160610,Somniosus pacificus,160610,,Somniosus pacificus,160610,Somniosus pacificus,160610,Somniosus pacificus,160610,fish,Chordata,shark,,OBISGBIF,done,"Good prey data, very little predator data"
Sphaerosyllis,65735,Syllidae,65587,,Syllidae,65587,Syllidae,65587,Syllidae,65587,worm,Annelida,polychaete,,OBISGBIF,done,Some very limited predator and prey data available
Spio filicornis,66865,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,"Euspio mesnili, Nereis filicornis, Spio gattyi",OBISGBIF,done,Two prey entries (detritus and plankton); a little species-specific predator data and some predator data for spionids in general
Spiochaetopterus,67105,Chaetopteridae,67095,,Chaetopteridae,67095,Chaetopteridae,67095,Chaetopteridae,67095,worm,Annelida,polychaete,Leptochaetopterus,OBISGBIF,done,Two prey entries (detritus and plankton); some predator data for two species
Spiophanes bambyx,66897,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (deposit feeder); a few species specific predator refs and a few more predators for congeners
Spiophanes berkeleyorum,66901,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (deposit feeder); a few predators for congeners
Spisula eugenense,no TSN,,drop,"There is a lot of predator overlap for the three local genera within the family Mactridae (includes Mactromeris, Spisula, and Tresus) - lumping would also be OK because each species on its own has only mediocre pred data (7-9 spp.). However, no predators would be gained by lumping and some genus-specific detail would be lost.  Is Spisula eugen. extinct?  Found a couple records for Atlantic Spisula, but nothing about Spisula eugen.",,drop,,drop,,drop,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific data, one prey entry and fairly good predator data for congeners"
Squalus acanthias,160617,Squalus acanthias,160617,,Squalus acanthias,160617,Squalus acanthias,160617,Squalus acanthias,160617,fish,Chordata,dogfish,"Acanthias americanus, Acanthias antiguorum, Acanthias commun, Acanthias lebruni, Acanthias linnei, Acanthias sucklii, Acanthias vulgaris, Spinax mediterraneus, Spinax suckleyi, Squalus antiquorum, Squalus barbouri, Squalus canis, Squalus fernandinus, Squalus kirki, Squalus suckleyi, Squalus sucklii, Squalus tasmaniensis, Squalus wakiyai, Squalus whitleyi","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey and good predator data
Staurocalyptus dowlingi,47518,Porifera,46861,"very little data for this taxon; majority of sponge pred data is for ""porifera""; dropped to include Halichondria, Haliclona, Ophlitaspongia, for which there are decent data, in intertidal web",,drop,,drop,,drop,sponge,Porifera,sponge,"Acanthascus dowlingi, Rhabdocalyptus dowlingi, Staurocalyptus dowlingi",OBISGBIF,done,One prey entry (plankton); no predator data available
Stegophiura nodosa,157444,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,"Ophioglypha nodosa, Ophiura nodosa",OBISGBIF,done,No prey data available for this genus; one predator citation
Stegophiura ponderosa,157387,Ophiuroidea,157325,"A shame to lump these, there is some good data for a few species, but too much is lost by splitting.",Ophiuroidea,157325,Ophiuroidea,157325,Ophiuroidea,157325,star,Echinodermata,brittle star,"Amphiophiura ponderosa, Ophioglypha ponderosa, Ophiura ponderosa",OBISGBIF,done,No prey and one predator for a congener
Stenobrachius leucopsarus,162664,Stenobrachius leucopsarus,162664,"Excellent prey and good pred data for both species, and nearly all pred and prey data is species-specific.",Stenobrachius leucopsarus,162664,Stenobrachius leucopsarus,162664,Stenobrachius leucopsarus,162664,fish,Chordata,lampfish,"Lampanyctus leucopsarus, Lampanyctus beringensis, Myctophum leucopsarum, Nannobrachium leucopsarum",OBISGBIF,done,Great prey data from several sources; good predator data
Stenobrachius nannochir,162665,Stenobrachius nannochir,162665,"Excellent prey and good pred data for both species, and nearly all pred and prey data is species-specific.",Stenobrachius nannochir,162665,Stenobrachius nannochir,162665,Stenobrachius nannochir,162665,fish,Chordata,lampfish,"Lampanyctus nannochir, Myctophum nannochir, Nannobrachium nannochir",OBISGBIF,done,"Good prey data from a single source; few species-specific predators, but lots for this genus (search synonyms in Sanak database only)"
Stereoderma miniata,no TSN,,drop,,,drop,,drop,,drop,cucumber,Echinodermata,sea cucumber,,OBISGBIF,done,No data available
Stichopathes spiessi,no TSN,,dropped,Predator and prey data not very good for this genus - bad data all the way to subclass.,,dropped,,dropped,,dropped,anemone,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Stomphia coccinea,52630,,drop,Good data for this subclass.,,drop,,drop,,drop,anemone,Cnidaria,anemone,Actinia coccinea,"Hoff, Britt. 2009. Results of the 2008 Eastern Bering Sea Upper Continental Slope Survey of Groundfish and Invertebrate Resources. NOAA Technical Memorandum NMFS-AFSC-197.",done,"No species specific prey data, but some for congener S. didemon; some predator data; additional pred and prey data for congener of synonym Actinia coccinea"
Strongylocentrotus droebachiensis,157969,Strongylocentrotus droebachiensis,157969,,Strongylocentrotus droebachiensis,157969,Strongylocentrotus droebachiensis,157969,Strongylocentrotus droebachiensis,157969,urchin,Echinodermata,urchin,"Echinus drobachiensis, E. granularis, E. neglectus, Strongylocentrotus chlorocentrotus, Toxopneustes pictus",OBISGBIF,done,"Excellent prey data, good predator data"
Strongylocentrotus franciscanus,157971,Strongylocentrotus franciscanus,157971,,Strongylocentrotus franciscanus,157971,Strongylocentrotus franciscanus,157971,Strongylocentrotus franciscanus,157971,urchin,Echinodermata,urchin,,Wood,done,Excellent prey data; good predator data
Strongylocentrotus pallidus,157972,,dropped,Insufficient data.,,dropped,,dropped,,dropped,urchin,Echinodermata,urchin,"Strongylocentrotus echinoides, S. granularis, S. pictus, S. sachalinicus",OBISGBIF,done,"One species-specific predator and no species-specific prey data available, but good prey and predator data for this genus"
Stylaster californicus,50925,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,,OBISGBIF,done,A little prey data for congener S. ferreri; no predator data
Synidotea bicuspida,92567,Idoteidae,92564,Pred and prey data scattered across the genera in this family - lumping makes more sense.,Idoteidae,92564,Idoteidae,92564,Idoteidae,92564,isopod,Arthropoda,isopod,"Idotea bicuspida, Idotea pulchra, Idotea rugulosa, Synidotea incisa",OBISGBIF,done,No prey data for this genus but lots of prey entries for congeners of synonym Idotea; some species-specific predator references and some additional predator references for Synidotea and Idotea
Synidotea erosa,92569,Idoteidae,92564,,Idoteidae,92564,Idoteidae,92564,Idoteidae,92564,isopod,Arthropoda,isopod,,OBISGBIF,done,"No prey data and no species-specific predator data available, some predator references for congeners"
Synidotea nebulosa,92570,Idoteidae,92564,,Idoteidae,92564,Idoteidae,92564,Idoteidae,92564,isopod,Arthropoda,isopod,,OBISGBIF,done,"No prey data and no species-specific predator data available, some predator references for congeners"
Synidotea picta,92573,Idoteidae,92564,,Idoteidae,92564,Idoteidae,92564,Idoteidae,92564,isopod,Arthropoda,isopod,Synidotea nodulosa,OBISGBIF,done,"No prey data and no species-specific predator data available, some predator references for congeners"
Synoicum jordani,158992,,drop,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,,drop,,drop,tunicate,Chordata,tunicate,"Amaroucium kincaidi, A. pribilovense, A. snodgrassi, Aplidiopsis jordani, Aplidiopsis knipowitschi, Macroclinum jordani, Synoicum jacobsoni",OBISGBIF,done,One prey entry (plankton); no predator data for this species
Tachyrhynchus erosus,71294,,dropped,No data for the genus; little pred and no prey data for the family.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,"Tachyrhynchus spitzbergensis, Turritella erosa, Turritella polaris",OBISGBIF,done,"No prey data and only one predator available (some data for Turritella, but not synonym spp.)"
Talismania bifurcata,182875,,dropped,Insufficient data for this genus and family.,,dropped,,dropped,,dropped,fish,Chordata,smelt,Nemabathytroctes bifurcatus,OBISGBIF,done,No data available
Tapes staminea,no TSN,,dropped,Insufficient data for this genus - several genera within Veneridae have good data.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); two predators for a congener
Tarletonbeania crenularis,162673,Tarletonbeania crenularis,162673,Probably no good reason to lump - all valuable prey data is for this species and lumping to genus only adds one bird and one fish predator.,Tarletonbeania crenularis,162673,Tarletonbeania crenularis,162673,Tarletonbeania crenularis,162673,fish,Chordata,lanternfish,"Myctophum crenulare, M. procellarum, Tarletonbeania crenulare, T. tenua",OBISGBIF,done,"Good prey data; fair predator data, more for this genus and Myctophum"
Tecticeps alascensis,92285,,dropped,Insufficient data.,,dropped,,dropped,,dropped,isopod,Arthropoda,isopod,,OBISGBIF,done,No prey data and little predator data available
Tectura fenestrata,568348,,drop,"Data for this genus pretty scattered, T. scutum only species with good prey data; most preds are intertidal spp.",,drop,,drop,,drop,limpet,Mollusca,limpet,,OBISGBIF,done,No species-specific prey or predator data but data for two congeners
Tectura persona,568350,Lottia persona,568350,,Lottia persona,568350,Lottia persona,568350,Lottia persona,568350,limpet,Mollusca,limpet,,OBISGBIF,done,Little species-specific prey or predator data but good data for congeners T. scutum
Tectura scutum,568351,Lottia scutum,568351,,Lottia scutum,568351,Lottia scutum,568351,Lottia scutum,568351,limpet,Mollusca,limpet,,OBISGBIF,done,Some prey and predator data
Tectura testudinalis,204945,Lottia testudinalis,204945,,Lottia testudinalis,204945,Lottia testudinalis,204945,Lottia testudinalis,204945,limpet,Mollusca,limpet,"Acmaea testudinalis, Testudinalia testudinalis",OBISGBIF,done,"Fair prey and good predator data for synonym A. testudinalis, more data within the synonym genera Tectura and Acmaea"
Tellina lutea,81076,Tellina,81074,Data for this genus is scattered across several species.,Tellina,81074,Tellina,81074,Tellina,81074,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); a few species specific predator entries and some data for this genus
Tellina nuculoides,81081,Tellina,81074,,Tellina,81074,Tellina,81074,Tellina,81074,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); a few species specific predator entries and some data for this genus
Telmessus cheiragonus,98663,Telmessus cheiragonus,98663,There is only one species in this genus.,Telmessus cheiragonus,98663,Telmessus cheiragonus,98663,Telmessus cheiragonus,98663,crab,Arthropoda,crab,"Cancer cheiragonus, Cheiragonus hippocarcinoides, Platycorystes ambiguus, Telmessus serratus",OBISGBIF,done,Some predator and prey data available
Thalassionema nitzschioides,3139,Thalassionema nitzschioides,3139,All data is species-specific.,Bacillariophyta,2286,Thalassionema nitzschioides,3139,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,"Synedra nitzschioides, Thalassiothrix nitzschioides",OBISGBIF,done,Some predator data
Thalassiosira antarctica,2504,Thalassiosirales,590745,"Lumping to order allows the inclusion of Skeletonema, which has a lot of otherwise missing pred data.",Bacillariophyta,2286,Thalassiosirales,590745,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Thalassiosira fallax,NOAA World Ocean Database,done,Some predator data for this genus
Thalassiosira decipiens,2489,Thalassiosirales,590745,,Bacillariophyta,2286,Thalassiosirales,590745,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,"Thalassiosira angulata, Orthoseira angulata",OBISGBIF,done,Some predator data for this genus
Thalassiosira gravida,2490,Thalassiosirales,590745,,Bacillariophyta,2286,Thalassiosirales,590745,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Coscinodiscus gravidus,OBISGBIF,done,Some predator data for this genus and for Coscinodiscus
Thalassiosira nordenskioeldii,2492,Thalassiosirales,590745,,Bacillariophyta,2286,Thalassiosirales,590745,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Coscinodiscus nordenskioeldii,OBISGBIF,done,Some predator data for this genus and for Coscinodiscus
Thalassiosira rotula,2494,Thalassiosirales,590745,,Bacillariophyta,2286,Thalassiosirales,590745,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Coscinodiscus rotulus,OBISGBIF,done,Some predator data for this genus and for Coscinodiscus
Thalassiothrix longissima,3134,Thalassiothrix,3131,Mediocre grazer data for this genus.,Bacillariophyta,2286,Thalassiothrix,3131,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,,OBISGBIF,done,Some predator data available for this genus
